sampno,chhwgt,cexphhwgt,hctfip
7074735,0.749628788,293.4933918,37
7074766,0.409301591,160.2490649,37
7074849,1.319561747,516.6325771,37
7074889,1.48398413,581.0069498,37
7074942,1.440153365,563.846403,37
7074995,0.757851054,296.7125593,37
7075022,0.834577372,326.7523172,37
7075026,1.35891125,532.0386279,37
7075032,0.762124098,298.3855345,37
7075108,1.077508829,421.8644295,37
7075109,0.682541727,267.2275795,37
7075116,0.724598042,283.6933967,37
7075224,2.065877081,808.8286912,37
7075258,0.504484258,197.514821,37
7075266,0.409301591,160.2490649,37
7075268,1.435566402,562.0505231,37
7075314,0.553718498,216.7909273,37
7075320,0.39265323,153.7309267,37
7075343,0.478018597,187.1530306,37
7075437,0.511539918,200.2772412,37
7075438,1.133556349,443.8080592,37
7075525,1.375811766,538.6554893,37
7075603,1.133556349,443.8080592,37
7075609,0.427387554,167.3300502,37
7075715,0.916491483,358.8231909,37
7075749,1.137165468,445.2210955,37
7075889,0.462292877,180.9961232,37
7075904,0.911210113,356.755438,37
7075933,0.478018597,187.1530306,37
7075940,0.555929783,217.6566856,37
7075955,0.682541727,267.2275795,37
7075972,1.116232938,437.0256268,37
7075973,1.116232938,437.0256268,37
7076057,1.187721943,465.0148809,37
7076124,1.634157205,639.8024575,37
7076155,1.029631894,403.1197329,37
7076294,0.903391271,353.6942184,37
7076354,0.623169517,243.9822725,37
7076399,0.880784029,344.8430694,37
7076405,1.500320582,587.4029697,37
7076420,0.886664736,347.1454735,37
7076580,1.341493427,525.2192316,37
7076789,1.325121404,518.8092849,37
7076918,1.440153365,563.846403,37
7077053,1.077508829,421.8644295,37
7077090,1.600111496,626.4729393,37
7077096,1.826500041,715.1081982,37
7077124,0.389386112,152.45179,37
7077297,0.478018597,187.1530306,37
7077351,1.584631374,620.4121882,37
7077364,1.312101192,513.7116333,37
7077466,1.302354885,509.8957757,37
7077524,0.649263967,254.1987273,37
7077534,0.916491483,358.8231909,37
7077578,1.253480568,490.7605862,37
7077601,0.970603277,380.0089489,37
7077640,0.604303957,236.5960603,37
7077653,0.934598307,365.9123443,37
7077659,1.309449339,512.6733844,37
7077662,1.088894896,426.3222829,37
7077735,1.227022137,480.4016261,37
7077760,0.418512147,163.8551662,37
7077774,1.227022137,480.4016261,37
7077775,1.655386258,648.1140201,37
7077835,1.262523948,494.3012352,37
7077870,1.04206125,407.9860535,37
7077874,0.911210113,356.755438,37
7077943,1.893632423,741.3917549,37
7077954,0.555929783,217.6566856,37
7078361,0.529064336,207.1383715,37
7078365,0.632997798,247.8302244,37
7078452,0.920801019,360.5104534,37
7078609,0.342314278,134.0223057,37
7078639,2.065877081,808.8286912,37
7078640,0.8967887,351.1091907,37
7078765,0.343773542,134.5936343,37
7078814,0.959773907,375.7690524,37
7078941,1.600111496,626.4729393,37
7078966,1.17271428,459.1391061,37
7079039,0.724598042,283.6933967,37
7079184,0.604303957,236.5960603,37
7079189,0.555929783,217.6566856,37
7079200,0.893102576,349.6660058,37
7079211,0.916491483,358.8231909,37
7079212,0.916491483,358.8231909,37
7079223,0.121966563,26.61962925,111
7079227,0.834577372,326.7523172,37
7079259,0.649263967,254.1987273,37
7079280,0.179604178,70.31832334,37
7079314,0.736766202,288.4574538,37
7079397,1.17271428,459.1391061,37
7079443,2.277185553,891.5598258,37
7079500,0.539906508,211.3832803,37
7079602,0.666530673,260.9589586,37
7079699,0.084178587,18.3722712,111
7079796,0.088722271,19.36394614,111
7079811,0.0640893,13.98771416,111
7079835,0.118655848,25.89705425,111
7079878,0.111624541,24.36244683,111
7079891,1.655386258,648.1140201,37
7079958,1.600111496,626.4729393,37
7080035,0.478018597,187.1530306,37
7080132,1.284391528,502.862793,37
7080169,1.04206125,407.9860535,37
7080191,0.561592391,219.8737004,37
7080235,1.17271428,459.1391061,37
7080291,0.565343313,221.3422549,37
7080337,1.271011607,497.6243087,37
7080346,1.952588899,764.4742942,37
7080349,0.922612804,361.2198004,37
7080364,1.055060224,413.0753896,37
7080391,0.752822888,294.7439402,37
7080409,0.545765295,213.6771027,37
7080529,1.440153365,563.846403,37
7080570,0.497219944,194.6707093,37
7080601,0.386632879,151.3738492,37
7080626,1.43302497,561.0555061,37
7080646,0.714603675,279.780419,37
7080742,1.376564631,538.9502497,37
7080759,0.478018597,187.1530306,37
7080792,0.863407279,338.0397536,37
7080876,0.478018597,187.1530306,37
7080924,0.863407279,338.0397536,37
7080991,0.99967536,391.3912015,37
7081414,1.301280767,509.4752392,37
7081540,1.557629873,609.8406062,37
7081571,1.17271428,459.1391061,37
7081671,2.252965195,882.0771122,37
7081683,1.655386258,648.1140201,37
7081777,1.381306094,540.8066194,37
7082047,0.394832022,154.5839637,37
7082073,2.065877081,808.8286912,37
7082203,1.204303487,471.5068589,37
7082439,0.652312838,255.3924159,37
7082575,0.975190528,381.8049418,37
7082724,0.942628084,369.0561487,37
7082806,1.655386258,648.1140201,37
7082965,0.834577372,326.7523172,37
7083033,0.614753232,240.6871429,37
7083144,1.870521915,732.3435681,37
7083201,0.240762052,94.2627501,37
7083206,1.584187675,620.2384719,37
7083303,1.43302497,561.0555061,37
7083368,1.330599961,520.9542402,37
7083371,0.922612804,361.2198004,37
7083428,1.415765662,554.2981711,37
7083481,1.187721943,465.0148809,37
7083482,0.409301591,160.2490649,37
7083503,1.463515565,572.9931322,37
7083636,1.584187675,620.2384719,37
7083676,0.656309445,256.957161,37
7083830,0.569798613,223.0865867,37
7083842,0.386632879,151.3738492,37
7083849,1.133556349,443.8080592,37
7084017,0.916491483,358.8231909,37
7084040,0.942628084,369.0561487,37
7084108,1.600111496,626.4729393,37
7084137,1.077508829,421.8644295,37
7084162,1.655386258,648.1140201,37
7084190,0.456650904,178.7871875,37
7084209,0.342314278,134.0223057,37
7084420,0.739289172,289.4452429,37
7084448,1.655386258,648.1140201,37
7084454,0.584423737,228.8125903,37
7084457,0.942628084,369.0561487,37
7084499,1.600111496,626.4729393,37
7084610,1.600111496,626.4729393,37
7084645,0.970603277,380.0089489,37
7084649,0.361266624,141.4424958,37
7084688,0.33105292,129.6132779,37
7084758,1.600111496,626.4729393,37
7084810,0.179604178,70.31832334,37
7084873,0.922612804,361.2198004,37
7084883,0.880784029,344.8430694,37
7084891,1.01698236,398.1672088,37
7084895,0.361266624,141.4424958,37
7084896,0.394832022,154.5839637,37
7084898,0.478018597,187.1530306,37
7084899,1.055060224,413.0753896,37
7084915,0.361266624,141.4424958,37
7084961,1.17271428,459.1391061,37
7085081,1.466126902,574.0155183,37
7085233,1.696949267,664.3866991,37
7085288,0.399743062,156.5067257,37
7085402,1.01698236,398.1672088,37
7085488,0.449246649,175.8882862,37
7085491,1.43302497,561.0555061,37
7085530,1.21701129,476.4821962,37
7085533,0.394832022,154.5839637,37
7085568,0.916491483,358.8231909,37
7085577,1.600111496,626.4729393,37
7085609,0.484704112,189.7705319,37
7085621,0.834577372,326.7523172,37
7085651,1.43302497,561.0555061,37
7085663,1.035486339,405.4118554,37
7085694,1.463515565,572.9931322,37
7085698,0.517432946,202.5844695,37
7085739,0.942628084,369.0561487,37
7085762,0.649263967,254.1987273,37
7085799,0.71859633,281.3436165,37
7085877,0.970603277,380.0089489,37
7085917,0.317063945,124.1363381,37
7085974,1.57171989,615.3571057,37
7085993,0.682541727,267.2275795,37
7086004,0.478018597,187.1530306,37
7086153,0.094484523,20.6215778,111
7086169,0.082579969,18.02336734,111
7086238,0.048425472,10.56902879,111
7086251,0.107759871,23.51896901,111
7086271,0.087802282,19.16315531,111
7086379,0.386632879,151.3738492,37
7086439,0.504484258,197.514821,37
7086470,0.863407279,338.0397536,37
7086488,0.478018597,187.1530306,37
7086566,0.061978177,13.52695412,111
7086619,0.113441866,24.75908445,111
7086679,0.58777643,230.1252312,37
7086750,0.125219977,27.32969837,111
7086793,0.409301591,160.2490649,37
7086800,0.33105292,129.6132779,37
7086948,1.153069737,451.4479081,37
7086995,1.020351152,399.4861525,37
7087110,1.191656316,466.55526,37
7087132,1.21701129,476.4821962,37
7087137,0.047179346,10.29705737,111
7087145,0.091002506,19.86161556,111
