sampno,vehno,gpsdiarycomplete,nbgpstripsdiaryday,nbdiaryreportedtrips,rawmatchdifference,nbmissinggpstrips,nbmissingdiarytrips,nbadjustedmissdiary
2783063,1,1,3,3,0,0,0,0
2826327,1,1,8,8,0,2,2,2
2925637,1,1,6,6,0,0,0,0
2925637,2,1,3,3,0,0,0,0
2926552,1,1,0,0,0,0,0,0
2926552,2,1,3,2,1,0,1,1
2926552,3,1,4,4,0,0,0,0
2943742,1,1,4,3,1,0,1,1
2943742,2,1,0,0,0,0,0,0
2943742,3,1,0,0,0,0,0,0
2949525,1,1,0,0,0,0,0,0
2949525,2,1,0,0,0,0,0,0
2951975,1,1,5,5,0,0,0,0
2951975,2,1,4,2,2,0,2,2
2953058,1,1,0,0,0,0,0,0
2953058,2,1,0,0,0,0,0,0
2954351,1,1,5,3,2,0,2,2
2954351,2,1,2,2,0,0,0,0
2954351,3,1,11,7,4,0,4,4
2957153,1,1,2,2,0,0,0,0
2957153,2,1,2,2,0,0,0,0
2959995,1,1,3,3,0,0,0,0
2959995,2,1,0,0,0,0,0,0
2964861,1,1,7,7,0,0,0,0
2967627,1,1,0,0,0,0,0,0
2967627,2,1,5,4,1,0,1,1
3022385,1,1,0,0,0,0,0,0
3022385,2,1,2,2,0,0,0,0
3029527,1,1,3,4,-1,1,0,0
3029527,2,1,2,2,0,0,0,0
3029751,1,1,0,0,0,0,0,0
3029751,2,1,0,0,0,0,0,0
3039701,1,1,5,3,2,0,2,2
3052193,1,1,2,2,0,0,0,0
3052193,2,1,1,1,0,0,0,0
3052193,3,1,3,4,-1,2,1,1
3068067,1,1,0,0,0,0,0,0
3068067,2,1,0,0,0,0,0,0
3069471,1,1,0,0,0,0,0,0
3069471,2,1,0,0,0,0,0,0
7200837,1,1,0,0,0,0,0,0
7200837,2,1,0,0,0,0,0,0
7201245,1,1,2,2,0,0,0,0
7201245,2,1,4,4,0,0,0,0
7202124,3,1,3,3,0,0,0,0
7202261,1,1,8,8,0,0,0,0
7202387,1,1,5,2,3,1,4,4
7202838,1,1,3,3,0,0,0,0
7203018,2,1,0,0,0,0,0,0
7203018,3,1,0,0,0,0,0,0
7203094,1,1,5,2,3,1,4,4
7203094,2,1,0,0,0,0,0,0
7203374,1,1,0,0,0,0,0,0
7203374,2,1,7,4,3,0,3,1
7203525,1,1,0,0,0,0,0,0
7203525,2,1,0,0,0,0,0,0
7203896,1,1,3,3,0,0,0,0
7203896,2,1,0,0,0,0,0,0
7204105,1,1,15,14,1,0,1,1
7204105,2,1,0,0,0,0,0,0
7204239,1,1,4,4,0,0,0,0
7204239,2,1,12,6,6,1,7,7
7204286,1,1,9,5,4,0,4,3
7209067,2,1,3,6,-3,4,1,1
7209067,3,1,0,0,0,0,0,0
7212324,1,1,0,0,0,0,0,0
7212324,2,1,0,0,0,0,0,0
7212324,3,1,0,0,0,0,0,0
