sampno,vehno,gpsdiarycomplete,nbgpstripsdiaryday,nbdiaryreportedtrips,rawmatchdifference,nbmissinggpstrips,nbmissingdiarytrips,nbadjustedmissdiary
1209027,2,1,2,6,-4,5,1,1
1210204,1,1,0,0,0,0,0,0
1210868,1,1,0,0,0,0,0,0
1223692,1,1,7,1,6,0,6,2
1224932,1,1,0,0,0,0,0,0
1224932,2,1,0,0,0,0,0,0
1225329,1,1,0,0,0,0,0,0
1234336,1,1,7,7,0,0,0,0
1234336,2,1,5,5,0,0,0,0
1235282,1,1,2,2,0,0,0,0
1235282,2,1,2,2,0,0,0,0
1236363,1,1,2,2,0,0,0,0
1240624,1,1,6,6,0,0,0,0
1242543,1,1,0,0,0,0,0,0
1256261,1,1,5,6,-1,1,0,0
1256261,2,1,0,0,0,0,0,0
1260457,1,1,0,0,0,0,0,0
1260457,2,1,5,4,1,0,1,1
1260457,3,1,0,0,0,0,0,0
1264399,1,1,2,2,0,0,0,0
1264399,2,1,6,6,0,0,0,0
1264982,1,1,4,3,1,0,1,0
1264982,2,1,0,0,0,0,0,0
1282541,1,1,5,4,1,0,1,1
1290034,1,1,8,8,0,0,0,0
1290034,2,1,0,0,0,0,0,0
1295325,1,1,10,9,1,0,1,0
1302642,1,1,0,0,0,0,0,0
1309284,1,1,7,6,1,0,1,0
1318928,1,1,4,4,0,0,0,0
1319784,1,1,2,2,0,0,0,0
1319784,2,1,0,0,0,0,0,0
1319784,3,1,3,3,0,0,0,0
1320244,1,1,5,5,0,0,0,0
1321768,1,1,9,10,-1,1,0,0
1325736,1,1,6,6,0,0,0,0
1330361,1,1,4,2,2,0,2,2
1330361,2,1,0,0,0,0,0,0
1333141,1,1,2,2,0,0,0,0
1339275,1,1,8,6,2,0,2,2
1346841,1,1,2,2,0,0,0,0
1346841,2,1,0,0,0,0,0,0
1353726,1,1,14,8,6,0,6,6
1354121,1,1,0,0,0,0,0,0
1356673,1,1,0,0,0,0,0,0
1356673,2,1,0,0,0,0,0,0
1356673,3,1,13,2,11,0,11,11
1365783,1,1,10,2,8,0,8,8
1365783,2,1,0,0,0,0,0,0
1374265,1,1,9,6,3,0,3,3
1374265,2,1,1,2,-1,1,0,0
1374265,3,1,0,0,0,0,0,0
1375576,1,1,10,6,4,0,4,4
1375576,2,1,2,2,0,2,0,0
1376484,1,1,5,5,0,0,0,0
1387013,1,1,11,9,2,0,2,2
1387013,2,1,2,3,-1,1,0,0
1390363,1,1,6,5,1,0,1,1
1390363,2,1,0,0,0,0,0,0
1390363,3,1,0,0,0,0,0,0
1390543,1,1,2,2,0,0,0,0
1400320,1,1,0,0,0,0,0,0
1400320,2,1,0,0,0,0,0,0
1402529,1,1,0,0,0,0,0,0
1402529,2,1,2,1,1,0,1,0
1407588,1,1,2,2,0,0,0,0
1407588,2,1,0,0,0,0,0,0
1411889,1,1,0,0,0,0,0,0
1411889,2,1,10,9,1,0,1,1
1411889,3,1,1,1,0,0,0,0
1430629,1,1,0,0,0,0,0,0
1430629,2,1,12,4,8,0,8,8
1433441,1,1,5,4,1,1,2,2
1433441,2,1,17,13,4,0,4,4
1433441,3,1,6,4,2,0,2,2
1437535,1,1,4,3,1,0,1,1
1437535,2,1,4,4,0,0,0,0
1437575,1,1,0,0,0,0,0,0
1437575,2,1,0,0,0,0,0,0
1442488,1,1,3,3,0,0,0,0
1442488,2,1,0,0,0,0,0,0
1452274,1,1,0,0,0,0,0,0
1452274,2,1,6,3,3,0,3,3
1452274,3,1,4,4,0,1,1,1
1454465,1,1,4,4,0,0,0,0
1458064,1,1,2,2,0,0,0,0
1458064,2,1,0,0,0,0,0,0
1470126,1,1,0,0,0,0,0,0
1470126,3,1,2,2,0,0,0,0
