sampno,vehno,trip,startplace,endplace,startgpsplaceid,endgpsplaceid,newgpslist
1128195,1,5.0,REDACTED,REDACTED,7.0,12.0,"8, 9, 10, 11"
1128195,1,6.0,REDACTED,REDACTED,12.0,15.0,"13, 14"
1128195,1,7.0,REDACTED,REDACTED,15.0,16.0,
1128811,1,1.0,REDACTED,REDACTED,1.0,2.0,
1128811,1,2.0,REDACTED,REDACTED,2.0,4.0,3
1128811,1,3.0,REDACTED,REDACTED,4.0,7.0,"5, 6"
1128811,1,4.0,REDACTED,REDACTED,7.0,9.0,8
1128811,1,5.0,REDACTED,REDACTED,9.0,10.0,
1128811,1,6.0,REDACTED,REDACTED,10.0,11.0,
1128811,1,7.0,REDACTED,REDACTED,11.0,12.0,
1128811,1,8.0,REDACTED,REDACTED,12.0,13.0,
1128811,1,9.0,REDACTED,REDACTED,13.0,16.0,"14, 15"
1128811,2,1.0,REDACTED,REDACTED,1.0,2.0,
1128811,2,2.0,REDACTED,REDACTED,2.0,3.0,
1128811,2,3.0,REDACTED,REDACTED,3.0,4.0,
1128811,2,4.0,REDACTED,REDACTED,4.0,,
1128811,2,5.0,REDACTED,REDACTED,,5.0,
1128811,2,6.0,REDACTED,REDACTED,5.0,6.0,
1128811,2,7.0,REDACTED,REDACTED,6.0,7.0,
1129234,1,1.0,REDACTED,REDACTED,1.0,2.0,
1129234,1,2.0,REDACTED,REDACTED,2.0,4.0,3
1129234,1,3.0,REDACTED,REDACTED,4.0,5.0,
1130487,1,1.0,REDACTED,REDACTED,1.0,2.0,
1130487,1,2.0,REDACTED,REDACTED,2.0,3.0,
1130487,2,1.0,REDACTED,REDACTED,,,
1130487,2,2.0,REDACTED,REDACTED,1.0,2.0,
1130487,2,3.0,REDACTED,REDACTED,2.0,4.0,3
1130487,2,4.0,REDACTED,REDACTED,4.0,5.0,
1130487,2,5.0,REDACTED,REDACTED,5.0,7.0,6
1130604,1,1.0,REDACTED,REDACTED,1.0,5.0,"2, 3, 4"
1130604,1,2.0,REDACTED,REDACTED,5.0,6.0,
1130604,1,3.0,REDACTED,REDACTED,6.0,7.0,
1130604,1,4.0,REDACTED,REDACTED,7.0,9.0,8
1130604,1,5.0,REDACTED,REDACTED,9.0,10.0,
1130604,1,6.0,REDACTED,REDACTED,10.0,11.0,
1130604,1,7.0,REDACTED,REDACTED,11.0,12.0,
1130604,1,8.0,REDACTED,REDACTED,12.0,13.0,
1130604,1,9.0,REDACTED,REDACTED,13.0,14.0,
1130604,1,10.0,REDACTED,REDACTED,14.0,15.0,
1131660,1,1.0,REDACTED,REDACTED,1.0,2.0,
1131660,1,2.0,REDACTED,REDACTED,2.0,3.0,
1131660,1,3.0,REDACTED,REDACTED,3.0,4.0,
1131660,1,4.0,REDACTED,REDACTED,4.0,5.0,
1132564,1,1.0,REDACTED,REDACTED,1.0,3.0,2
1132564,1,2.0,REDACTED,REDACTED,3.0,4.0,
1132564,1,3.0,REDACTED,REDACTED,4.0,5.0,
1132564,1,4.0,REDACTED,REDACTED,5.0,6.0,
1134470,1,1.0,REDACTED,REDACTED,1.0,2.0,
1134470,1,2.0,REDACTED,REDACTED,2.0,3.0,
1134470,1,3.0,REDACTED,REDACTED,3.0,4.0,
1134470,1,4.0,REDACTED,REDACTED,4.0,,
1134470,1,5.0,REDACTED,REDACTED,,5.0,
1134721,2,1.0,REDACTED,REDACTED,1.0,3.0,2
1134721,2,2.0,REDACTED,REDACTED,3.0,4.0,
1134721,2,3.0,REDACTED,REDACTED,4.0,5.0,
1134721,2,4.0,REDACTED,REDACTED,5.0,7.0,6
1134742,1,1.0,REDACTED,REDACTED,1.0,2.0,
1134742,1,2.0,REDACTED,REDACTED,2.0,4.0,3
1134742,1,3.0,REDACTED,REDACTED,4.0,5.0,
1134742,1,4.0,REDACTED,REDACTED,5.0,6.0,
1134742,1,5.0,REDACTED,REDACTED,6.0,7.0,
1134742,1,6.0,REDACTED,REDACTED,7.0,8.0,
1134742,1,7.0,REDACTED,REDACTED,8.0,9.0,
1134742,2,1.0,REDACTED,REDACTED,1.0,2.0,
1134742,2,2.0,REDACTED,REDACTED,2.0,3.0,
1134742,2,3.0,REDACTED,REDACTED,3.0,4.0,
1134742,2,4.0,REDACTED,REDACTED,4.0,5.0,
1135317,1,1.0,REDACTED,REDACTED,1.0,2.0,
1135317,1,2.0,REDACTED,REDACTED,2.0,3.0,
1135317,1,3.0,REDACTED,REDACTED,3.0,4.0,
1135317,1,4.0,REDACTED,REDACTED,4.0,5.0,
1135317,2,1.0,REDACTED,REDACTED,1.0,3.0,2
1135317,2,2.0,REDACTED,REDACTED,3.0,4.0,
1135317,2,3.0,REDACTED,REDACTED,4.0,5.0,
1135317,2,4.0,REDACTED,REDACTED,5.0,6.0,
1135317,2,5.0,REDACTED,REDACTED,6.0,7.0,
1135317,2,6.0,REDACTED,REDACTED,7.0,8.0,
1135317,2,7.0,REDACTED,REDACTED,8.0,9.0,
1135317,2,8.0,REDACTED,REDACTED,9.0,10.0,
1135317,2,9.0,REDACTED,REDACTED,10.0,11.0,
1135317,2,10.0,REDACTED,REDACTED,11.0,12.0,
1135317,2,11.0,REDACTED,REDACTED,12.0,13.0,
1135317,2,12.0,REDACTED,REDACTED,13.0,14.0,
1035198,1,1.0,REDACTED,REDACTED,1.0,2.0,
1209027,1,9.0,REDACTED,REDACTED,,,
1209027,1,10.0,REDACTED,REDACTED,,,
1209027,2,1.0,REDACTED,REDACTED,1.0,3.0,2
1209027,2,2.0,REDACTED,REDACTED,,,
1209027,2,3.0,REDACTED,REDACTED,,,
1209027,2,4.0,REDACTED,REDACTED,,,
1209027,2,5.0,REDACTED,REDACTED,,,
1209027,2,6.0,REDACTED,REDACTED,,,
1223692,1,1.0,REDACTED,REDACTED,1.0,8.0,"2, 3, 4, 5, 6, 7"
1234336,1,1.0,REDACTED,REDACTED,1.0,2.0,
1234336,1,2.0,REDACTED,REDACTED,2.0,3.0,
1234336,1,3.0,REDACTED,REDACTED,3.0,4.0,
1234336,1,4.0,REDACTED,REDACTED,4.0,5.0,
1234336,1,5.0,REDACTED,REDACTED,5.0,6.0,
1234336,1,6.0,REDACTED,REDACTED,6.0,7.0,
1234336,1,7.0,REDACTED,REDACTED,7.0,8.0,
1234336,2,1.0,REDACTED,REDACTED,1.0,2.0,
1234336,2,2.0,REDACTED,REDACTED,2.0,3.0,
1234336,2,3.0,REDACTED,REDACTED,3.0,4.0,
1234336,2,4.0,REDACTED,REDACTED,4.0,5.0,
1234336,2,5.0,REDACTED,REDACTED,5.0,6.0,
1235282,1,1.0,REDACTED,REDACTED,1.0,2.0,
1235282,1,2.0,REDACTED,REDACTED,2.0,3.0,
1235282,2,1.0,REDACTED,REDACTED,1.0,2.0,
1235282,2,2.0,REDACTED,REDACTED,2.0,3.0,
1236363,1,1.0,REDACTED,REDACTED,1.0,2.0,
1236363,1,2.0,REDACTED,REDACTED,2.0,3.0,
1240624,1,1.0,REDACTED,REDACTED,1.0,2.0,
1240624,1,2.0,REDACTED,REDACTED,2.0,3.0,
1240624,1,3.0,REDACTED,REDACTED,3.0,4.0,
1240624,1,4.0,REDACTED,REDACTED,4.0,5.0,
1240624,1,5.0,REDACTED,REDACTED,5.0,6.0,
1240624,1,6.0,REDACTED,REDACTED,6.0,7.0,
1256261,1,1.0,REDACTED,REDACTED,,,
1140800,2,11.0,REDACTED,REDACTED,13.0,14.0,
1141076,1,1.0,REDACTED,REDACTED,1.0,2.0,
1141076,1,2.0,REDACTED,REDACTED,2.0,7.0,"3, 4, 5, 6"
1141076,1,3.0,REDACTED,REDACTED,7.0,8.0,
1141076,1,4.0,REDACTED,REDACTED,8.0,9.0,
1141076,1,999.0,REDACTED,REDACTED,9.0,11.0,"10, 11"
1141873,1,-999.0,REDACTED,REDACTED,1.0,6.0,"1, 2, 3, 4, 5"
1141873,1,1.0,REDACTED,REDACTED,6.0,7.0,
1141873,1,2.0,REDACTED,REDACTED,7.0,8.0,
1142708,2,-999.0,REDACTED,REDACTED,1.0,5.0,"1, 2, 3, 4"
1142708,2,1.0,REDACTED,REDACTED,5.0,6.0,
1142708,2,2.0,REDACTED,REDACTED,6.0,7.0,
1144883,1,1.0,REDACTED,REDACTED,1.0,2.0,
1144883,1,2.0,REDACTED,REDACTED,2.0,3.0,
1144883,1,3.0,REDACTED,REDACTED,3.0,4.0,
1144883,1,4.0,REDACTED,REDACTED,4.0,5.0,
1144883,1,5.0,REDACTED,REDACTED,5.0,6.0,
1144883,3,1.0,REDACTED,REDACTED,1.0,2.0,
1144883,3,2.0,REDACTED,REDACTED,2.0,3.0,
1144883,3,3.0,REDACTED,REDACTED,3.0,4.0,
1146542,1,1.0,REDACTED,REDACTED,1.0,2.0,
1146542,1,2.0,REDACTED,REDACTED,2.0,3.0,
1146542,1,3.0,REDACTED,REDACTED,3.0,4.0,
1146542,1,4.0,REDACTED,REDACTED,4.0,5.0,
1146678,1,1.0,REDACTED,REDACTED,1.0,2.0,
1146678,1,2.0,REDACTED,REDACTED,2.0,4.0,3
1146678,1,3.0,REDACTED,REDACTED,4.0,7.0,"5, 6"
1146678,2,1.0,REDACTED,REDACTED,1.0,2.0,
1146678,2,2.0,REDACTED,REDACTED,2.0,3.0,
1146678,2,3.0,REDACTED,REDACTED,3.0,4.0,
1146678,2,4.0,REDACTED,REDACTED,4.0,5.0,
1146678,2,5.0,REDACTED,REDACTED,5.0,6.0,
1147504,1,1.0,REDACTED,REDACTED,,,
1147504,1,2.0,REDACTED,REDACTED,,,
1147504,1,3.0,REDACTED,REDACTED,,,
1147504,1,4.0,REDACTED,REDACTED,1.0,2.0,
1147504,1,5.0,REDACTED,REDACTED,2.0,4.0,3
1147504,2,1.0,REDACTED,REDACTED,1.0,3.0,2
1147504,2,2.0,REDACTED,REDACTED,3.0,4.0,
1150104,1,1.0,REDACTED,REDACTED,1.0,2.0,
1150104,1,2.0,REDACTED,REDACTED,2.0,3.0,
1150104,1,3.0,REDACTED,REDACTED,3.0,5.0,4
1150191,2,1.0,REDACTED,REDACTED,,,
1150191,2,2.0,REDACTED,REDACTED,,,
1150191,2,3.0,REDACTED,REDACTED,1.0,2.0,
1150191,2,4.0,REDACTED,REDACTED,2.0,3.0,
1150191,2,5.0,REDACTED,REDACTED,3.0,4.0,
1150191,2,6.0,REDACTED,REDACTED,4.0,5.0,
1150191,2,7.0,REDACTED,REDACTED,5.0,6.0,
1150191,2,8.0,REDACTED,REDACTED,6.0,7.0,
1150191,2,9.0,REDACTED,REDACTED,7.0,8.0,
1150191,2,10.0,REDACTED,REDACTED,8.0,9.0,
1150191,2,11.0,REDACTED,REDACTED,9.0,10.0,
1150191,2,12.0,REDACTED,REDACTED,10.0,11.0,
1151384,1,1.0,REDACTED,REDACTED,3.0,4.0,
1151384,1,2.0,REDACTED,REDACTED,4.0,5.0,
1151384,1,3.0,REDACTED,REDACTED,5.0,6.0,
1151384,2,1.0,REDACTED,REDACTED,1.0,2.0,
1151384,2,2.0,REDACTED,REDACTED,2.0,3.0,
1151384,2,2.5,REDACTED,REDACTED,3.0,6.0,"4, 5"
1151384,2,3.0,REDACTED,REDACTED,6.0,7.0,
1151384,2,4.0,REDACTED,REDACTED,7.0,8.0,
1151498,1,1.0,REDACTED,REDACTED,1.0,2.0,
1151498,1,2.0,REDACTED,REDACTED,2.0,3.0,
1151498,1,3.0,REDACTED,REDACTED,3.0,4.0,
1151498,1,4.0,REDACTED,REDACTED,4.0,5.0,
1151498,2,1.0,REDACTED,REDACTED,1.0,2.0,
1151498,2,2.0,REDACTED,REDACTED,2.0,3.0,
1151498,2,3.0,REDACTED,REDACTED,3.0,4.0,
1151498,2,4.0,REDACTED,REDACTED,4.0,5.0,
1151498,2,5.0,REDACTED,REDACTED,5.0,6.0,
1151498,2,6.0,REDACTED,REDACTED,6.0,7.0,
1151498,2,7.0,REDACTED,REDACTED,7.0,8.0,
1151498,2,8.0,REDACTED,REDACTED,8.0,9.0,
1151498,2,9.0,REDACTED,REDACTED,9.0,11.0,10
1152022,1,1.0,REDACTED,REDACTED,1.0,2.0,
1152022,1,2.0,REDACTED,REDACTED,2.0,3.0,
1152022,1,3.0,REDACTED,REDACTED,3.0,4.0,
1152022,1,4.0,REDACTED,REDACTED,4.0,5.0,
1152022,2,1.0,REDACTED,REDACTED,1.0,2.0,
1152022,2,2.0,REDACTED,REDACTED,2.0,3.0,
1152022,2,3.0,REDACTED,REDACTED,3.0,4.0,
1152022,2,4.0,REDACTED,REDACTED,4.0,,
1152022,2,5.0,REDACTED,REDACTED,,5.0,
1152022,2,6.0,REDACTED,REDACTED,5.0,6.0,
1152646,1,1.0,REDACTED,REDACTED,1.0,2.0,
1152646,1,2.0,REDACTED,REDACTED,2.0,3.0,
1152646,1,3.0,REDACTED,REDACTED,3.0,4.0,
1152646,1,4.0,REDACTED,REDACTED,4.0,6.0,5
1152646,1,5.0,REDACTED,REDACTED,6.0,7.0,
1152646,2,-999.0,REDACTED,REDACTED,1.0,2.0,1
1152646,2,1.0,REDACTED,REDACTED,2.0,3.0,
1152646,2,2.0,REDACTED,REDACTED,3.0,4.0,
1152646,2,3.0,REDACTED,REDACTED,4.0,5.0,
1152646,2,4.0,REDACTED,REDACTED,5.0,6.0,
1152646,2,5.0,REDACTED,REDACTED,6.0,7.0,
1153250,1,1.0,REDACTED,REDACTED,1.0,2.0,
1153250,1,2.0,REDACTED,REDACTED,2.0,3.0,
1153250,1,3.0,REDACTED,REDACTED,3.0,4.0,
1153250,1,4.0,REDACTED,REDACTED,4.0,5.0,
1153250,1,5.0,REDACTED,REDACTED,5.0,8.0,"6, 7"
1153250,1,6.0,REDACTED,REDACTED,8.0,9.0,
1154089,1,1.0,REDACTED,REDACTED,1.0,2.0,
1154089,1,2.0,REDACTED,REDACTED,2.0,3.0,
1154089,1,3.0,REDACTED,REDACTED,3.0,4.0,
1154089,1,3.5,REDACTED,REDACTED,4.0,9.0,"5, 6, 7, 8"
1154089,1,4.0,REDACTED,REDACTED,9.0,10.0,
1154089,1,5.0,REDACTED,REDACTED,10.0,15.0,"11, 12, 13, 14"
1154089,3,-999.0,REDACTED,REDACTED,1.0,3.0,"1, 2"
1154089,3,1.0,REDACTED,REDACTED,,,
1154089,3,2.0,REDACTED,REDACTED,,,
1154089,3,3.0,REDACTED,REDACTED,3.0,5.0,4
1154089,3,4.0,REDACTED,REDACTED,5.0,6.0,
1154089,3,5.0,REDACTED,REDACTED,6.0,8.0,7
1155144,1,1.0,REDACTED,REDACTED,9.0,12.0,"10, 11"
1155144,1,2.0,REDACTED,REDACTED,12.0,13.0,
