sampno,home_county_id,mpo_id,vehicle_count,vehicle_count_gps,travel_day1,gps_trips_td,gps_trips_27,diary_trips_td,gps_complete,diary_complete,gps_diary_complete,deldateid,nsdeliverable,geom
2142467,6059,2,2,2,2012-09-28 00:00:00,10,52,10,1,1,1,4,1,REDACTED
2142774,6059,2,1,1,2012-09-13 00:00:00,7,50,7,1,1,1,3,1,REDACTED
2158234,6059,2,1,1,2012-08-24 00:00:00,7,48,7,1,1,1,3,1,REDACTED
2175988,6065,4,1,1,2012-06-23 00:00:00,2,11,2,1,1,1,3,1,REDACTED
2183489,6071,4,2,2,2012-09-14 00:00:00,16,47,16,1,1,1,5,1,REDACTED
2195942,6073,14,2,2,2012-11-05 00:00:00,7,50,6,1,1,1,4,1,REDACTED
2199501,6073,14,3,2,2012-09-03 00:00:00,0,7,0,1,1,1,3,1,REDACTED
2206467,6077,24,1,1,2012-10-24 00:00:00,8,0,7,1,1,1,5,1,REDACTED
2215330,6079,25,4,3,2012-07-10 00:00:00,12,69,11,1,1,1,3,1,REDACTED
2217304,6079,25,1,1,2012-06-22 00:00:00,3,20,2,1,1,1,3,1,REDACTED
2225855,6081,12,1,1,2012-08-01 00:00:00,7,26,6,1,1,1,3,1,REDACTED
2246360,6087,23,3,3,2012-08-29 00:00:00,13,68,8,1,1,1,3,1,REDACTED
2255433,6095,10,4,3,2012-07-30 00:00:00,0,0,2,1,1,1,3,1,REDACTED
